date,generacion_total_programada_redespacho,generacion_total_programada_despacho,generacion_total_real,importacion_programada_redespacho,importacion__real,exportacion_programada_redespacho,exportacion__real,disponibilidad_real,demanda_no_atendida,costo_marginal_promedio_redespacho,aportes_hidricos,volumen_util_diario,volumen,id
"'2017-06-25 00:00:00'",160.12,160.12,158.83,0.0,0.12,0.0,0.06,13398.91,80.69,58.59,183.39,13365.49,14949.47,1364
"'2017-06-26 00:00:00'",161.11,161.11,159.11,0.0,0.06,0.0,0.0,13078.82,14.58,58.59,239.90,13423.88,15007.88,1365
"'2017-06-27 00:00:00'",184.09,184.09,184.46,0.0,0.14,0.0,0.07,12946.3,33.76,78.21,259.07,13460.90,15044.87,1366
"'2017-06-28 00:00:00'",186.02,186.02,187.96,0.0,0.12,0.0,0.06,12970.98,6.59,61.49,225.77,13460.00,15044.02,1367
"'2017-06-29 00:00:00'",188.07,188.07,189.32,0.0,0.11,0.0,0.05,13125.36,ND,58.59,177.38,13434.04,15018.03,1368
"'2017-06-30 00:00:00'",187.11,187.11,188.13,0.0,0.1,0.0,0.05,13126.66,82.3,58.59,257.96,13478.36,15062.35,1369
"'2017-07-01 00:00:00'",176.98,176.98,178.94,0.0,0.12,0.0,0.06,13123.28,2.4,61.42,212.10,13492.56,15076.56,1370
"'2017-07-02 00:00:00'",157.97,157.97,159.53,0.0,0.13,0.0,0.07,13113.57,ND,61.42,224.50,13503.48,15087.46,1371
"'2017-07-03 00:00:00'",159.47,159.47,156.32,0.0,0.07,0.0,0.0,13114.87,68.18,61.42,193.50,13513.17,15097.15,1372
"'2017-07-04 00:00:00'",182.9,182.9,184.49,0.0,0.06,0.0,0.0,13276.16,ND,61.64,188.06,13511.71,15095.70,1373
"'2017-07-05 00:00:00'",182.79,182.79,186.82,0.0,0.08,0.0,0.0,13337.65,128.78,61.42,170.44,13490.28,15074.30,1374
"'2017-07-06 00:00:00'",184.31,184.35,187.65,0.0,0.07,0.0,0.0,13384.23,203.72,61.42,213.63,13500.27,15084.25,1375
"'2017-07-07 00:00:00'",183.86,183.86,191.25,0.0,0.0,0.0,0.0,13324.88,307.45,61.42,166.39,13478.09,15062.07,1376
"'2017-07-08 00:00:00'",174.75,174.87,182.48,0.0,0.02,0.0,0.0,13132.91,135.24,61.42,167.30,13464.97,15048.95,1377
"'2017-07-09 00:00:00'",159.34,159.34,163.6,0.0,0.0,0.0,0.01,13117.26,150.95,62.5,197.53,13500.04,15084.04,1378
"'2017-07-10 00:00:00'",181.7,181.7,189.36,0.0,0.0,0.0,0.01,13366.75,152.39,68.44,209.33,13523.37,15107.37,1379
"'2017-07-11 00:00:00'",181.55,181.55,188.51,0.0,0.0,0.0,0.01,13155.32,106.08,65.82,223.73,13558.57,15142.53,1380
"'2017-07-12 00:00:00'",183.72,183.72,184.03,0.0,0.0,0.0,0.02,13095.98,19.22,61.85,241.69,13595.36,15179.34,1381
"'2017-07-13 00:00:00'",183.98,183.98,189.21,0.0,0.07,0.0,0.13,13166.14,3.72,64.01,185.98,13585.29,15169.32,1382
"'2017-07-14 00:00:00'",184.33,184.33,188.99,0.0,0.09,0.0,0.1,13230.28,573.55,62.84,171.18,13572.98,15156.97,1383
"'2017-07-15 00:00:00'",178.41,178.41,178.22,0.0,0.07,0.0,0.09,13441.77,24.79,61.5,183.44,13573.44,15157.42,1384
"'2017-07-16 00:00:00'",160.72,160.72,158.33,0.0,0.07,0.0,0.09,13428.32,23.17,61.52,168.83,13573.30,15157.29,1385
"'2017-07-17 00:00:00'",175.47,175.47,177.11,1.26,1.65,0.0,0.0,13514.54,31.5,65.15,171.60,13549.45,15133.45,1386
"'2017-07-18 00:00:00'",185.42,185.55,188.59,2.03,2.3,0.0,0.0,13290.3,8.35,68.69,250.76,13586.67,15170.66,1387
"'2017-07-19 00:00:00'",186.74,188.61,186.35,2.34,2.37,0.0,0.0,13374.55,1.55,71.12,258.46,13632.23,15216.22,1388
"'2017-07-20 00:00:00'",165.82,165.82,166.02,0.0,0.08,0.0,0.09,13450.5,4.05,67.21,250.28,13696.13,15280.15,1389
"'2017-07-21 00:00:00'",187.54,187.54,185.02,0.0,0.09,0.0,0.08,13215.32,ND,65.95,165.33,13678.63,15262.63,1390
"'2017-07-22 00:00:00'",178.45,178.45,178.6,0.0,0.12,0.0,0.05,13383.66,132.36,61.87,142.13,13642.69,15226.66,1391
